famille,competence,nb_offres_mentionnent,pct_offres_total,rang_dans_profil
methodologies,agile,2784,55.68,1
methodologies,git,2773,55.46,2
langages,sql,2614,52.28,3
cloud,docker,2347,46.94,4
langages,python,1471,29.42,5
databases,postgresql,1426,28.52,6
cloud,aws,1267,25.34,7
langages,javascript,1223,24.46,8
frameworks_web,react,1127,22.54,9
bi_analytics,power_bi,869,17.38,10
cloud,kubernetes,776,15.52,11
bi_analytics,looker,684,13.68,12
bi_analytics,tableau,654,13.08,13
bi_analytics,metabase,650,13.0,14
bi_analytics,excel,638,12.76,15
cloud,terraform,616,12.32,16
frameworks_web,spring,559,11.18,17
langages,java,536,10.72,18
data_engineering,airflow,501,10.02,19
data_engineering,spark,498,9.96,20
