entreprise,ville,nb_offres_publiees,nb_profils_differents,salaire_moyen_propose,rang_recruteur
Marrakech BI Services,Marrakech,77,11,20773.0,1
Oriental Cloud Lab,Oujda,74,11,22402.0,2
Meknes Data Services,Meknes,74,11,21736.0,2
North Data Factory,Tanger,74,11,23737.0,2
Casa North Tech,Mohammedia,74,11,22915.0,2
Med Port Tech,Tanger,73,11,22008.0,6
Casa Data Consulting,Casablanca,72,11,23509.0,7
Red City Software,Marrakech,71,10,22705.0,8
HPS,Casablanca,71,11,22527.0,8
CIH Bank IT,Casablanca,71,11,21077.0,8
Ismailia Tech Consulting,Meknes,70,11,23207.0,11
Orange Business Maroc,Casablanca,69,10,21844.0,12
inwi,Casablanca,69,11,22179.0,12
Atlas GovTech Solutions,Rabat,68,11,21902.0,14
Ericsson Maroc,Casablanca,68,11,21970.0,14
Mohammedia Data Lab,Mohammedia,68,11,21912.0,14
AgroTech Meknes,Meknes,68,11,22582.0,14
Souss Analytics,Agadir,67,10,21091.0,18
North Cloud Tetouan,Tetouan,67,11,20991.0,18
Oracle Maroc,Casablanca,67,11,22614.0,18
